keypoint 1 x,keypoint 1 y,keypoint 2 x,keypoint 2 y,keypoint 3 x,keypoint 3 y,keypoint 4 x,keypoint 4 y,keypoint 5 x,keypoint 5 y,keypoint 6 x,keypoint 6 y,keypoint 7 x,keypoint 7 y,keypoint 8 x,keypoint 8 y,keypoint 9 x,keypoint 9 y,keypoint 10 x,keypoint 10 y,keypoint 11 x,keypoint 11 y,keypoint 12 x,keypoint 12 y,keypoint 13 x,keypoint 13 y,keypoint 14 x,keypoint 14 y,keypoint 15 x,keypoint 15 y,keypoint 16 x,keypoint 16 y,keypoint 17 x,keypoint 17 y,keypoint 18 x,keypoint 18 y,keypoint 19 x,keypoint 19 y,keypoint 20 x,keypoint 20 y,keypoint 21 x,keypoint 21 y,keypoint 22 x,keypoint 22 y,keypoint 23 x,keypoint 23 y,keypoint 24 x,keypoint 24 y,keypoint 25 x,keypoint 25 y,keypoint 26 x,keypoint 26 y,keypoint 27 x,keypoint 27 y,keypoint 28 x,keypoint 28 y,keypoint 29 x,keypoint 29 y,keypoint 30 x,keypoint 30 y,keypoint 31 x,keypoint 31 y,keypoint 32 x,keypoint 32 y
6.985401459854015,4.255474452554744,7.007299270072993,4.248175182481752,7.029197080291971,4.248175182481752,6.912408759124087,4.255474452554744,6.890510948905109,4.255474452554744,6.868613138686132,4.248175182481752,7.072992700729927,4.262773722627737,6.839416058394161,4.2700729927007295,7.0,4.386861313868613,6.912408759124087,4.386861313868613,7.262773722627737,4.5036496350364965,6.664233576642336,4.510948905109489,7.489051094890511,4.087591240875913,6.45985401459854,4.087591240875913,7.124087591240876,4.131386861313868,6.824817518248175,4.138686131386861,7.0510948905109485,4.131386861313868,6.91970802919708,4.153284671532846,7.043795620437956,4.160583941605839,6.934306569343065,4.189781021897811,7.0583941605839415,4.182481751824818,6.897810218978102,4.204379562043796,7.175182481751825,5.5036496350364965,6.751824817518248,5.510948905109489,7.394160583941606,5.875912408759124,6.525547445255475,5.861313868613139,7.401459854014599,6.671532846715328,6.547445255474453,6.700729927007299,7.343065693430657,6.781021897810219,6.613138686131387,6.817518248175182,7.481751824817518,6.905109489051095,6.430656934306569,6.927007299270073
6.909747292418772,4.1732851985559565,6.931407942238267,4.1732851985559565,6.953068592057762,4.1732851985559565,6.837545126353791,4.1732851985559565,6.815884476534296,4.1732851985559565,6.794223826714801,4.166064981949458,6.996389891696751,4.187725631768953,6.765342960288809,4.194945848375451,6.924187725631769,4.310469314079422,6.837545126353791,4.303249097472924,7.184115523465704,4.44043321299639,6.592057761732852,4.44043321299639,7.40072202166065,4.007220216606498,6.397111913357401,4.007220216606498,7.054151624548736,4.050541516245487,6.743682310469314,4.072202166064982,6.974729241877256,4.0577617328519855,6.837545126353791,4.07942238267148,6.9675090252707585,4.086642599277979,6.851985559566787,4.115523465703971,6.9891696750902526,4.101083032490974,6.823104693140794,4.137184115523466,7.097472924187725,5.436823104693141,6.67870036101083,5.444043321299639,7.3140794223826715,5.812274368231047,6.4548736462093865,5.79783393501805,7.32129963898917,6.59927797833935,6.4765342960288805,6.628158844765343,7.263537906137184,6.707581227436823,6.541516245487364,6.743682310469314,7.40072202166065,6.830324909747293,6.3610108303249095,6.851985559566787
6.835714285714285,4.078571428571428,6.864285714285714,4.078571428571428,6.878571428571429,4.078571428571428,6.764285714285714,4.078571428571428,6.742857142857143,4.078571428571428,6.7214285714285715,4.078571428571428,6.921428571428572,4.107142857142857,6.692857142857143,4.107142857142857,6.857142857142857,4.214285714285714,6.771428571428571,4.207142857142857,7.107142857142857,4.371428571428571,6.521428571428571,4.364285714285714,7.314285714285714,3.9285714285714284,6.335714285714285,3.9285714285714284,6.978571428571429,3.992857142857143,6.671428571428572,4.0,6.9071428571428575,4.0,6.764285714285714,4.014285714285714,6.892857142857143,4.0285714285714285,6.7785714285714285,4.05,6.914285714285715,4.042857142857143,6.75,4.064285714285714,7.021428571428571,5.364285714285714,6.607142857142857,5.371428571428571,7.235714285714286,5.742857142857143,6.4,5.728571428571429,7.242857142857143,6.5285714285714285,6.4071428571428575,6.557142857142857,7.185714285714286,6.635714285714286,6.4714285714285715,6.671428571428572,7.321428571428571,6.757142857142857,6.3,6.7785714285714285
6.763250883392226,3.9858657243816253,6.791519434628976,3.9858657243816253,6.80565371024735,3.9929328621908127,6.692579505300353,3.9858657243816253,6.671378091872792,3.9929328621908127,6.65017667844523,3.9929328621908127,6.848056537102473,4.028268551236749,6.6219081272084805,4.028268551236749,6.784452296819788,4.120141342756184,6.69964664310954,4.120141342756184,7.031802120141343,4.296819787985866,6.4522968197879855,4.289752650176679,7.236749116607774,3.8586572438162543,6.261484098939929,3.851590106007067,6.904593639575972,3.908127208480565,6.6007067137809186,3.929328621908127,6.833922261484099,3.9151943462897525,6.692579505300353,3.950530035335689,6.819787985865724,3.943462897526502,6.706713780918728,3.9858657243816253,6.840989399293286,3.9575971731448765,6.678445229681979,4.0,6.946996466431095,5.286219081272085,6.5371024734982335,5.30035335689046,7.159010600706714,5.681978798586573,6.332155477031802,5.667844522968198,7.173144876325089,6.459363957597173,6.3462897526501765,6.487632508833922,7.109540636042403,6.572438162544169,6.409893992932862,6.6007067137809186,7.243816254416961,6.6855123674911665,6.23321554770318,6.69964664310954
6.6923076923076925,3.909090909090909,6.72027972027972,3.9160839160839163,6.734265734265734,3.9160839160839163,6.6223776223776225,3.9160839160839163,6.601398601398602,3.9160839160839163,6.580419580419581,3.9160839160839163,6.776223776223776,3.9510489510489513,6.5524475524475525,3.958041958041958,6.713286713286713,4.048951048951049,6.629370629370629,4.048951048951049,6.958041958041958,4.216783216783217,6.384615384615385,4.20979020979021,7.160839160839161,3.7762237762237763,6.195804195804196,3.7832167832167833,6.825174825174825,3.825174825174825,6.531468531468532,3.8461538461538463,6.7622377622377625,3.839160839160839,6.6223776223776225,3.867132867132867,6.748251748251748,3.867132867132867,6.636363636363637,3.909090909090909,6.769230769230769,3.874125874125874,6.608391608391608,3.9160839160839163,6.874125874125874,5.20979020979021,6.468531468531468,5.216783216783217,7.083916083916084,5.6223776223776225,6.258741258741258,5.615384615384615,7.0979020979020975,6.391608391608392,6.27972027972028,6.419580419580419,7.034965034965035,6.503496503496503,6.3426573426573425,6.531468531468532,7.1678321678321675,6.615384615384615,6.1678321678321675,6.629370629370629
6.645833333333333,3.8472222222222223,6.673611111111111,3.8472222222222223,6.6875,3.8472222222222223,6.576388888888889,3.8472222222222223,6.555555555555555,3.8472222222222223,6.534722222222222,3.8541666666666665,6.729166666666667,3.8819444444444446,6.506944444444445,3.8958333333333335,6.666666666666667,3.986111111111111,6.583333333333333,3.9791666666666665,6.909722222222222,4.152777777777778,6.340277777777778,4.152777777777778,7.111111111111111,3.7152777777777777,6.152777777777778,3.7152777777777777,6.777777777777778,3.7708333333333335,6.486111111111111,3.7916666666666665,6.715277777777778,3.7916666666666665,6.576388888888889,3.8125,6.701388888888889,3.826388888888889,6.590277777777778,3.8541666666666665,6.722222222222222,3.826388888888889,6.5625,3.861111111111111,6.826388888888889,5.145833333333333,6.423611111111111,5.159722222222222,7.034722222222222,5.583333333333333,6.215277777777778,5.576388888888889,7.048611111111111,6.347222222222222,6.236111111111111,6.368055555555555,6.986111111111111,6.458333333333333,6.298611111111111,6.486111111111111,7.118055555555555,6.576388888888889,6.125,6.583333333333333
6.510204081632653,3.7210884353741496,6.537414965986395,3.727891156462585,6.551020408163265,3.727891156462585,6.442176870748299,3.727891156462585,6.421768707482993,3.727891156462585,6.401360544217687,3.7346938775510203,6.591836734693878,3.761904761904762,6.374149659863946,3.7755102040816326,6.530612244897959,3.857142857142857,6.448979591836735,3.857142857142857,6.7687074829931975,4.034013605442177,6.210884353741497,4.034013605442177,6.965986394557823,3.5918367346938775,6.0272108843537415,3.598639455782313,6.639455782312925,3.673469387755102,6.35374149659864,3.7006802721088436,6.578231292517007,3.7006802721088436,6.4353741496598635,3.727891156462585,6.5646258503401365,3.7346938775510203,6.448979591836735,3.761904761904762,6.585034013605442,3.7346938775510203,6.421768707482993,3.7687074829931975,6.687074829931973,5.0272108843537415,6.292517006802721,5.040816326530612,6.891156462585034,5.462585034013605,6.08843537414966,5.462585034013605,6.904761904761905,6.217687074829932,6.108843537414966,6.238095238095238,6.843537414965986,6.326530612244898,6.170068027210885,6.346938775510204,6.959183673469388,6.442176870748299,6.0,6.448979591836735
6.444444444444445,3.643097643097643,6.4713804713804715,3.6498316498316496,6.484848484848484,3.6498316498316496,6.377104377104377,3.6498316498316496,6.356902356902357,3.6498316498316496,6.3367003367003365,3.6565656565656566,6.525252525252525,3.6902356902356903,6.30976430976431,3.7037037037037037,6.4646464646464645,3.771043771043771,6.377104377104377,3.771043771043771,6.700336700336701,3.95959595959596,6.148148148148148,3.9663299663299663,6.888888888888889,3.521885521885522,5.966329966329966,3.5286195286195285,6.572390572390573,3.6094276094276094,6.282828282828283,3.6498316498316496,6.511784511784512,3.643097643097643,6.363636363636363,3.676767676767677,6.505050505050505,3.67003367003367,6.377104377104377,3.7037037037037037,6.518518518518518,3.67003367003367,6.356902356902357,3.7104377104377106,6.619528619528619,4.956228956228956,6.228956228956229,4.96969696969697,6.821548821548822,5.393939393939394,6.033670033670034,5.407407407407407,6.835016835016835,6.154882154882155,6.047138047138047,6.168350168350169,6.774410774410774,6.255892255892256,6.107744107744108,6.282828282828283,6.882154882154882,6.377104377104377,5.9393939393939394,6.383838383838384
6.38,3.5733333333333333,6.406666666666666,3.58,6.42,3.58,6.3133333333333335,3.58,6.293333333333333,3.58,6.273333333333333,3.5866666666666664,6.46,3.62,6.246666666666667,3.6333333333333333,6.4,3.7,6.3133333333333335,3.7066666666666666,6.633333333333334,3.8933333333333335,6.086666666666667,3.8933333333333335,6.82,3.433333333333333,5.913333333333333,3.44,6.506666666666667,3.56,6.22,3.5933333333333333,6.446666666666666,3.6,6.293333333333333,3.6266666666666665,6.44,3.6266666666666665,6.306666666666667,3.6533333333333333,6.453333333333333,3.6266666666666665,6.286666666666667,3.6533333333333333,6.553333333333334,4.886666666666667,6.166666666666667,4.9,6.746666666666667,5.34,5.98,5.3533333333333335,6.766666666666667,6.093333333333334,5.986666666666666,6.1066666666666665,6.713333333333333,6.193333333333333,6.046666666666667,6.213333333333333,6.8133333333333335,6.3133333333333335,5.88,6.32
6.316797281420772,3.4983307828140116,6.34319977789484,3.5049314069325286,6.356401026131874,3.5049314069325286,6.250791040235602,3.5049314069325286,6.230989167880051,3.5115320310510456,6.2111872955245,3.5115320310510456,6.396004770842977,3.5445351516436308,6.184784799050432,3.564337023999182,6.336599153776323,3.6303432651843517,6.250791040235602,3.6303432651843517,6.5676209979244184,3.815160740502828,6.026369820206024,3.821761364621345,6.752438473242894,3.366318300443672,5.854753593124582,3.366318300443672,6.448809763791112,3.4983307828140116,6.158382302576364,3.5247332792880797,6.3828035226059425,3.5379345275251137,6.230989167880051,3.570937648117699,6.376202898487425,3.564337023999182,6.244190416117085,3.59073952047325,6.396004770842977,3.564337023999182,6.224388543761534,3.584138896354733,6.4818128843836975,4.811854982398895,6.105577309628228,4.825056230635929,6.6798316079392075,5.287099918932119,5.920759834309752,5.293700543050637,6.699633480294758,6.032970444324541,5.927360458428269,6.039571068443058,6.646828487346622,6.131979806102296,5.986766075494922,6.14518105433933,6.745837849124378,6.250791040235602,5.821750472531997,6.250791040235602
